timestep,message
31,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
33,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
33,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
33,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
33,"[Pogoda] Wiatr: 3.3 km/h | Słońce: 93%
[Produkcja] OZE: 1.1 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 1.1 MW | Stan: CRITICAL"
32,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
32,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
1781010524,Predictor: zmiana mocy OZE o 3.2 MW w ciągu 5 kroków
32,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
1781010524,Predictor: zmiana mocy OZE o -2.0 MW w ciągu 5 kroków
34,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
34,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
34,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
34,"[Pogoda] Wiatr: 1.2 km/h | Słońce: 91%
[Produkcja] OZE: 0.1 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 0.1 MW | Stan: CRITICAL"
33,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
33,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
33,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
1781010524,Predictor: zmiana mocy OZE o 2.9 MW w ciągu 5 kroków
35,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
35,"LoadShed: odłączono industrial (priorytet 2, 40.0 MW)"
35,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
35,"[Pogoda] Wiatr: 3.3 km/h | Słońce: 89%
[Produkcja] OZE: 1.1 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 51.0 MW | Bilans: 1.1 MW | Stan: CRITICAL"
34,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
34,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
34,industrial: przydzielono 0.00 / 40.00 MW [LoadShed]
36,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
36,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
36,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
36,"[Pogoda] Wiatr: 1.7 km/h | Słońce: 92%
[Produkcja] OZE: 0.3 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.3 MW | Stan: CRITICAL"
35,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
1781010524,Predictor: zmiana mocy OZE o -3.2 MW w ciągu 5 kroków
35,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
35,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
37,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
37,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
37,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
37,"[Pogoda] Wiatr: 1.2 km/h | Słońce: 95%
[Produkcja] OZE: 0.1 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.1 MW | Stan: CRITICAL"
36,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
1781010524,Predictor: zmiana mocy OZE o 1.0 MW w ciągu 5 kroków
36,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
36,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
1781010524,Predictor: zmiana mocy OZE o 0.4 MW w ciągu 5 kroków
38,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
38,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
38,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
38,"[Pogoda] Wiatr: 0.9 km/h | Słońce: 90%
[Produkcja] OZE: 0.1 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.1 MW | Stan: CRITICAL"
